link,long_title,short_title,authors,date_filed,subjects
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2391-19th-congress,AN ACT DECLARING MAY 8 AS THE PUBLIC LAND TRANSPORTATION WORKERS DAY,PUBLIC LAND TRANSPORTATION WORKERS DAY ACT,"VILLAR, CYNTHIA A.","July 8, 2023",PUBLIC LAND TRANSPORTATION WORKERS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2108-19th-congress,AN ACT INSTITUTIONALIZING THE PAMBANSANG PABAHAY PARA SA PILIPINO PROGRAM,PAMBANSANG PABAHAY PARA SA PILIPINO PROGRAM ACT OF 2023,"GO, CHRISTOPHER LAWRENCE T.","March 5, 2023",PAMBANSANG PABAHAY PARA SA PILIPINO PROGRAM; DEPARTMENT OF HUMAN SETTLEMENT AND URBAN DEVELOPMENT
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2172-19th-congress,"AN ACT PROMOTING THE DEVELOPMENT OF THE BAMBOO INDUSTRY BY STRENGTHENING THE PHILIPPINE BAMBOO INDUSTRY DEVELOPMENT COUNCIL, CREATING THE BAMBOO INDUSTRY RESEARCH AND DEVELOPMENT CENTER, PROVIDING INCENTIVES FOR BAMBOO PLANTATION DEVELOPMENT, AND APPROPRIATING FUNDS THEREFOR",PHILIPPINE BAMBOO INDUSTRY DEVELOPMENT ACT,"ESTRADA, JINGGOY E.","October 5, 2023",BAMBOO INDUSTRY; PHILIPPINE BAMBOO INDUSTRY DEVELOPMENT COORDINATING COUNCIL (PBIDCC); PHILIPPINE BAMBOO INDUSTRY DEVELOPMENT CENTER (BIDC)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2058-19th-congress,N/A,PSYCHOLOGICAL SERVICES FOR CHILDREN AND YOUNG ADOLESCENTS DURING PUBLIC HEALTH EMERGENCIES,"TULFO, RAFFY T.","November 4, 2023",MENTAL HEALTH; PSYCHIATRIC/PSYCHOLOGICAL DRUG/ PHYSICAL TEST
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1874-19th-congress,N/A,"AMENDING SEC. 13, ART. XVI OF R. A. NO. 11054 (ORGANIC LAW FOR THE BARMM)","TULFO, RAFFY T.","February 13, 2023",BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1694-19th-congress,N/A,INDUSTRIAL ENERGY EFFICIENCY RESEARCH AND DEVELOPMENT ACT OF 2023,"TULFO, RAFFY T.","January 18, 2023",INDUSTRIAL ENERGY EFFICIENCY RESEARCH AND DEVELOPMENT
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1761-19th-congress,N/A,SEVERE PENALTIES FOR LARGE SCALE EXPLORATION AND EXPLOITATION OF CORALS AND CORAL REEFS,"TULFO, RAFFY T.","January 25, 2023",CORAL REEFS; PHILIPPINE FISHERIES CODE (R.A.NO. 8550)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1825-19th-congress,N/A,"MANDATING ANNUAL PSYCHIATRIC, PSYCHOLOGICAL DRUG AND PHYSICAL TESTS FOR POLICE OFFICERS","MARCOS, IMEE R.","January 31, 2023",PSYCHIATRIC/PSYCHOLOGICAL DRUG/ PHYSICAL TEST; POLICE OFFICERS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2076-19th-congress,N/A,DRIVERS SAFETY EDUCATION FOR SENIOR HIGH SCHOOL STUDENTS ACT,"TULFO, RAFFY T.","April 19, 2023",DRIVERS EDUCATION; ROAD SAFETY EDUCATION; SENIOR HIGH SCHOOL; CURRICULUM/CURRICULA
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2140-19th-congress,"AN ACT ESTABLISHING THE STANDARDS FOR A LIVING WAGE, AMENDING FOR THE PURPOSE ARTICLE 124 OF PRESIDENTIAL DECREE NO. 442, AS AMENDED, OTHERWISE KNOWN AS THE LABOR CODE OF THE PHILIPPINES","ESTABLISHING THE STANDARDS FOR A LIVING WAGE, AMENDING PD NO. 442 (LABOR CODE OF THE PHILIPPINES)","VILLANUEVA, JOEL","August 5, 2023",WAGE; PRESIDENTIAL DECREE (P.D.NO. 442); LABOR CODE OF THE PHILIPPINES (P.D.NO. 442)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1962-19th-congress,"AN ACT AMENDING CERTAIN SECTIONS OF REPUBLIC ACT NO. 10845, OTHERWISE KNOWN AS THE ANTI-AGRICULTURAL SMUGGLING ACT OF 2016, AND FOR OTHER PURPOSES",AMENDING R.A. NO. 10845 (ANTI-AGRICULTURAL SMUGGLING ACT OF 2016),"VILLAR, CYNTHIA A.","June 3, 2023",ANTI-AGRICULTURAL SMUGGLING; ECONOMIC SABOTAGE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1846-19th-congress,"AN ACT PROTECTING CONSUMERS AND MERCHANTS ENGAGED IN INTERNET TRANSACTIONS, CREATING FOR THIS PURPOSE THE ELECTRONIC COMMERCE BUREAU, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",INTERNET TRANSACTIONS ACT OF 2023,"MARCOS, IMEE R.; GATCHALIAN, WIN; VILLAR, MARK A.; VILLANUEVA, JOEL; LEGARDA, LOREN B.; VILLAR, CYNTHIA A.; ESTRADA, JINGGOY E.; PADILLA, ROBINHOOD C.; REVILLA JR., RAMON BONG; GO, CHRISTOPHER LAWRENCE T.; ZUBIRI, JUAN MIGUEL ""MIGZ"" F.","June 2, 2023",INTERNET TRANSACTIONS; E-COMMERCE BUREAU
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1910-19th-congress,N/A,BARANGAY SKILLED WORKERS REGISTRY ACT,"VILLAR, MARK A.","February 21, 2023",BARANGAY SKILLED WORKERS
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1662-19th-congress,"AN ACT EMANCIPATING AGRARIAN REFORM BENEFICIARIES FROM THE DEBT BURDEN BY CONDONING UNPAID AMORTIZATIONS AND INTERESTS ON AGRICULTURAL LANDS AWARDED UNDER THE COMPREHENSIVE AGRARIAN REFORM PROGRAM AND OTHER AGRARIAN REFORM PROGRAMS, TO APPROPRIATE FUNDS THEREFOR, AND FOR OTHER PURPOSES",CONDONATION OF UNPAID AMORTIZATIONS AND INTERESTS ON AGRICULTURAL LANDS UNDER CARP ACT,"MARCOS, IMEE R.","December 1, 2023",DEBT BURDEN EMANCIPATION; CONDONATION; COMPREHENSIVE AGRARIAN REFORM PROGRAM
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1728-19th-congress,N/A,TELEMEDICINE ACT OF 2023,"VILLAR, MARK A.","January 23, 2023",TELEMEDICINE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1792-19th-congress,N/A,NO HOMEWORK ACT OF 2023,"REVILLA JR., RAMON BONG","January 30, 2023",HOMEWORK/ASSIGNMENT
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1673-19th-congress,N/A,PHILIPPINE COAST GUARD (PCG) ACADEMY ACT OF 2023,"VILLAR, MARK A.","December 1, 2023",PHILIPPINE COAST GUARD ACADEMY
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1740-19th-congress,N/A,KAPARKAN FALLS ECOTOURISM ACT,"MARCOS, IMEE R.","January 23, 2023",ECOTOURISM SITES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2399-19th-congress,"AN ACT TO DESIGNATE THE SEVENTH (7TH) DAY OF APRIL OF EVERY YEAR AS BARANGAY HEALTH AND NUTRITION WORKERS DAY, MANDATING CONCERNED AGENCIES TO CONDUCT EVENTS DURING ITS OBSERVANCE, TO APPROPRIATE FUNDS THEREFOR, AND FOR OTHER PURPOSES",BARANGAY HEALTH AND NUTRITION WORKERS' DAY ACT,"GO, CHRISTOPHER LAWRENCE T.","October 8, 2023",BARANGAY HEALTH WORKER; BARANGAY NUTRITION WORKER
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2119-19th-congress,N/A,SCIENCE FOR CHANGE PROGRAM,"VILLAR, MARK A.","March 5, 2023",SCIENCE FOR CHANGE PROGRAM
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2257-19th-congress,N/A,STRENGTHENING THE ADOPTION OF STRAY AND IMPOUNDED ANIMALS,"VILLAR, MARK A.","May 29, 2023",ADOPTION; ANIMAL WELFARE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1641-19th-congress,AN ACT PROHIBITING GAME-FIXING AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF,ANTI GAME-FIXING ACT,"ESTRADA, JINGGOY E.","September 1, 2023",GAME-FIXING
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1705-19th-congress,N/A,"AMENDING LABOR CODE OF THE PHILIPPINES, INCREASING THE SERVICE INCENTIVES LEAVE OF EMPLOYEES","GO, CHRISTOPHER LAWRENCE T.","January 19, 2023",LABOR CODE OF THE PHILIPPINES (P.D.NO. 442); SERVICE INCENTIVE LEAVE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1771-19th-congress,N/A,MOUNTAIN PROVINCE-ILOCOS SUR ROAD  VIA DACUDAC-PILIPIL NATIONAL ROAD,"MARCOS, IMEE R.","January 25, 2023","ROADS, CONVERSION"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1973-19th-congress,N/A,EMERGENCY MEDICAL SERVICES SYSTEM (EMSS) ACT,"EJERCITO, JOSEPH VICTOR G.","July 3, 2023",EMERGENCY MEDICAL SERVICES SYSTEM (EMSS)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1857-19th-congress,N/A,GREEN PUBLIC PROCUREMENT ACT,"VILLAR, MARK A.","September 2, 2023",GREEN PUBLIC PROCUREMENT
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1921-19th-congress,N/A,PUBLIC SCHOOL TEACHERS' HOSPITAL BENEFITS ACT OF 2023,"TULFO, RAFFY T.","February 22, 2023",Public school teachers; BENEFITS AND INCENTIVES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2236-19th-congress,N/A,EXTENDING THE LIFE OF THE PHILIPPINE AEROSPACE DEVELOPMENT CORPORATION (PADC),"ESTRADA, JINGGOY E.","May 23, 2023",PHILIPPINE AEROSPACE DEVELOPMENT CORPORATION (PADC)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2302-19th-congress,AN ACT PROCLAIMING THE FIRST MONDAY OF AUGUST EVERY YEAR AS THE NATIONAL LINE WORKERS APPRECIATION DAY,NATIONAL LINE WORKERS APPRECIATION DAY ACT,"ESCUDERO, FRANCIS G.","December 7, 2023",ELECTRICAL  LINE WORKERS/LINEMEN
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1933-19th-congress,N/A,"BARANGAY KAPATAGAN, DIGOS, DAVAO DEL SUR, AN ECOTOURISM SITE","MARCOS, IMEE R.","February 27, 2023",ECOTOURISM SITES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1684-19th-congress,N/A,HEALTH RATING LABEL ACT,"TULFO, RAFFY T.","January 17, 2023",HEALTH RATING LABEL; FOOD PRODUCTS LABEL
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1751-19th-congress,N/A,ORMOC-SOUTHERN LEYTE RAILWAY ACT OF 2023,"MARCOS, IMEE R.","January 23, 2023",RAILWAY SYSTEM
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2130-19th-congress,"AN ACT DECLARING CAGAYAN DE ORO RIVER AND ITS IMMEDIATE ENVIRONS LOCATED IN CAGAYAN DE ORO CITY, PROVINCE OF MISAMIS ORIENTAL A CULTURAL HERITAGE ZONE",CAGAYAN DE ORO RIVER CULTURAL HERITAGE ZONE ACT,"LEGARDA, LOREN B.","April 5, 2023",CULTURAL HERITAGE; HERITAGE ZONE
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2194-19th-congress,N/A,NATIONAL MUSEUM OF FILIPINO WOMEN ACT,"LAPID, MANUEL ""LITO"" M.","May 15, 2023",MUSEUM; FILIPINO; WOMEN
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1836-19th-congress,"AN ACT DECLARING FEBRUARY 21 OF EVERY YEAR A SPECIAL NON-WORKING HOLIDAY IN THE PROVINCE OF MARINDUQUE TO BE KNOWN AS ARAW NG MARINDUQUE, IN COMMEMORATION OF ITS FOUNDING ANNIVERSARY",ARAW NG MARINDUQUE,"LAPID, MANUEL ""LITO"" M.","June 2, 2023",HOLIDAYS (SPECIAL NON-WORKING)
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1900-19th-congress,N/A,WANGAL INTEGRATED SCHOOL,"MARCOS, IMEE R.","February 20, 2023","SCHOOLS, CONVERSION"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1653-19th-congress,"AN ACT STRENGTHENING THE LEGAL EDUCATION BOARD, THEREBY AMENDING REPUBLIC ACT NO. 7662, OTHERWISE KNOWN AS THE LEGAL EDUCATION REFORM ACT OF 1993, AND APPROPRIATING FUNDS THEREFOR",REVISED LEGAL EDUCATION REFORM ACT,"TULFO, RAFFY T.","November 1, 2023",LEGAL EDUCATION
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1782-19th-congress,N/A,"LA PAZ GENERAL HOSPITAL, ABRA","MARCOS, IMEE R.","January 25, 2023","HOSPITALS, INCREASE BED CAPACITY"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2380-19th-congress,AN ACT PENALIZING CERTAIN ACTS IN THE IMPOSITION OF EXCESSIVE PLACEMENT FEES AGAINST OVERSEAS FILIPINO WORKERS,FAIR PLACEMENT FEES FOR OFWS ACT,"LAPID, MANUEL ""LITO"" M.","January 8, 2023",OVERSEAS FILIPINO WORKERS (OFW); FEES AND CHARGES
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2098-19th-congress,N/A,DIGITAL LITERACY IN SCHOOLS ACT,"TULFO, RAFFY T.","April 26, 2023",DIGITAL LITERACY; CURRICULUM/CURRICULA; ELEMENTARY EDUCATION/PRIMARY EDUCATION; HIGH SCHOOL
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2162-19th-congress,"AN ACT MANDATING THE FULL REHABILITATION, UPGRADING, AND MAINTENANCE OF ROMAN SUPERHIGHWAY IN THE PROVINCE OF BATAAN","MANDATING THE FULL REHABILITATION, UPGRADING, & MAINTENANCE OF ROMAN SUPERHIGHWAY PROVINCE OF BATAAN","REVILLA JR., RAMON BONG","September 5, 2023","Department of Public Works and Highways (DPWH); ROAD MAINTENANCE; ROAD REPAIR, REHABILITATION, AND IMPROVEMENT"
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-1980-19th-congress,N/A,GENDER RESPONSIVE AND INCLUSIVE EMERGENCY MANAGEMENT ACT OF 2023,"HONTIVEROS, RISA","July 3, 2023",GENDER RESPONSIVE AND INCLUSIVE PANDEMIC AND DISASTER MANAGEMENT
https://ldr.senate.gov.ph/legislative-issuances/senate-bills/bills/senate-bill-no-2048-19th-congress,N/A,FILM AND LIVE EVENTS RECOVERY ACT,"PADILLA, ROBINHOOD C.","March 29, 2023",FILM/MOVIE INDUSTRY; MUSIC INDUSTRY; LOCAL GOVERNMENT CODE (R.A.NO. 7160)
